vendor_id,business_name,category,city,address,description,is_verified,rating_avg,rating_count,daily_capacity,harga_min,harga_max,jumlah_layanan
"62c4d04a-66e0-4dee-97e4-aeeabf59775b","Jaya Busana Formal","attire_rental","bekasi",,"Terjangkau, Rapi, Formal","true","5.0","2","1","300000.00","650000.00","5"
"064c86d6-55d6-4319-94e8-6efc64eab52c","Nusantara Attire","attire_rental","depok",,"Tradisional, Modern, Elegan","true","5.0","3","10","350000.00","750000.00","5"
"46fd0885-200a-428b-87a9-36e808125188","Ornamen Fashion Studio","attire_rental","bekasi",,"Ornamen, Detail, Artistik","true","5.0","5","1","400000.00","850000.00","5"
"bc178f70-4e97-46fc-9e35-cb96e08da2ac","Tirta Busana Formal","attire_rental","bekasi",,"Bersih, Rapi, Terjangkau","true","5.0","4","1","250000.00","600000.00","5"
"3925e295-8ff8-4d11-ad6c-7e59afeac2f8","Kebaya Cantik Studio","attire_rental","jakarta_pusat",,"Cantik, Anggun, Tradisional","true","4.8","4","1","500000.00","1100000.00","5"
"a741925a-426a-4a8d-9570-1a9cbc5e5722","Lestari Fashion","attire_rental","bogor",,"Lestari, Tradisional, Lokal","true","4.8","4","1","250000.00","550000.00","5"
"ba79d1d1-283f-4fd4-9918-787a6893cc5d","Formal Fashion Studio","attire_rental","jakarta_timur",,"Premium, Eksklusif, Mewah","true","4.7","3","1","550000.00","1200000.00","5"
"8ee989ff-489c-4e3a-a2bb-6992c6dbc1ab","Elegant Suit House","attire_rental","bekasi",,"Elegan, Modern, Sleek","true","4.6","5","1","300000.00","700000.00","5"
"4604635f-fce4-4bff-bfb2-796e9fee5fda","Nuansa Batik House","attire_rental","tangerang",,"Batik, Lokal, Kontemporer","true","4.6","5","1","300000.00","700000.00","5"
"09c38f1e-ae73-40e4-a8be-4888b85c02f7","Sartoria Formal House","attire_rental","tangerang",,"Tailored, Premium, Eksklusif","true","4.6","5","1","800000.00","1800000.00","5"
"05de7b7f-2f9d-4195-967d-2bc51993b724","Batik & Kebaya Studio","attire_rental","bogor",,"Batik, Lokal, Tradisional","true","4.5","2","10","250000.00","600000.00","5"
"c44e3835-6db5-4a12-9054-9194807aa1dc","Pesona Kebaya","attire_rental","jakarta_utara",,"Pesona, Anggun, Premium","true","4.4","5","1","600000.00","1300000.00","5"
"900e5557-7bfc-4400-a745-a8313bbdffb2","Griya Busana Formal","attire_rental","bogor",,"Lokal, Terjangkau, Rapi","true","4.3","4","1","250000.00","500000.00","5"
"3f01cb5c-06d1-4dac-8ec9-216ff00f4cf3","Quorum Suit Studio","attire_rental","bogor",,"Profesional, Modern, Rapi","true","4.3","3","1","350000.00","750000.00","5"
"b3b29c49-36f5-426f-80c0-1a0c05f59e56","Duta Pakaian Formal","attire_rental","tangerang",,"Formal, Profesional, Rapi","true","4.0","2","1","350000.00","800000.00","5"
"56e863a9-ed21-44b0-a76a-5a3033adf7cb","Heritage Attire","attire_rental","depok",,"Heritage, Klasik, Tradisional","true","4.0","2","1","400000.00","900000.00","5"
"dc20d001-d125-4426-aa00-8a45193d7e46","Imperial Fashion House","attire_rental","tangerang",,"Imperial, Mewah, Grand","true","4.0","5","1","700000.00","1500000.00","5"
"e258798b-65a9-428d-9382-3b55de2a449f","Keraton Fashion House","attire_rental","jakarta_barat",,"Mewah, Kerajaan, Formal","true","4.0","5","10","450000.00","1000000.00","5"
"d4937732-5178-4529-866e-ab78752da920","Mahkota Attire Studio","attire_rental","depok",,"Mahkota, Kerajaan, Megah","true","4.0","5","1","450000.00","950000.00","5"
"5d4d1915-4920-4316-97c7-c410ab2cd526","Royal Attire Indonesia","attire_rental","depok",,"Royal, Mewah, Formal","true","4.0","3","1","450000.00","1000000.00","5"
