service_id,vendor_id,business_name,category,service_name,description,price,minimum_notice_days,details
"90404361-b0e4-451b-acb8-69f4a4dcb81c","0cc718ff-94f9-4a00-9c2d-f75bac06342d","Agung Mandiri Planner","event_organizer","Koordinator Hari-H","Untuk yang sudah menyiapkan sendiri semua vendornya dan hanya butuh tim yang menjalankan rundown di hari pelaksanaan.","2450000.00","21","{""tim"":""Satu koordinator dan empat kru lapangan."",""durasi"":""Hari pelaksanaan saja"",""cakupan"":""Pengambilalihan rundown dua minggu sebelum hari-H, gladi bersih, koordinasi vendor di lokasi, dan penanganan kendala."",""kapasitas"":""Sampai 500 tamu"",""jenis_acara"":""Semua jenis acara formal""}"
"17bed1b0-fc5f-4f35-93e9-451498c58fc4","0cc718ff-94f9-4a00-9c2d-f75bac06342d","Agung Mandiri Planner","event_organizer","Paket Lamaran & Engagement","Acara lamaran skala keluarga dengan dekorasi, MC, dan susunan acara adat yang disiapkan sesuai permintaan kedua keluarga.","3500000.00","30","{""tim"":""Satu koordinator dan dua kru lapangan."",""durasi"":""4-5 jam"",""cakupan"":""Dekorasi area lamaran, MC, seserahan, dokumentasi ringan, dan pengaturan alur acara adat."",""kapasitas"":""30-100 tamu"",""jenis_acara"":""Lamaran / engagement""}"
"af4bdda3-c883-4c02-9f5a-1adf36159881","0cc718ff-94f9-4a00-9c2d-f75bac06342d","Agung Mandiri Planner","event_organizer","Seminar & Corporate Gathering","Seminar, workshop, atau gathering karyawan, termasuk kebutuhan teknis presentasi dan pengelolaan peserta.","6300000.00","30","{""tim"":""Satu koordinator, tim registrasi, dan operator teknis."",""durasi"":""Setengah hari sampai dua hari"",""cakupan"":""Tata ruang, perlengkapan presentasi, registrasi peserta, konsumsi, dan dokumentasi acara."",""kapasitas"":""50-300 peserta"",""jenis_acara"":""Seminar / gathering""}"
"eea4b543-1ba0-48b9-9558-6e2498dcafbf","0cc718ff-94f9-4a00-9c2d-f75bac06342d","Agung Mandiri Planner","event_organizer","Wedding Organizer Full Service","Pendampingan penuh sejak perencanaan sampai hari pelaksanaan, termasuk pencarian dan koordinasi seluruh vendor pendukung.","7000000.00","60","{""tim"":""Satu project manager, dua koordinator area, dan tim lapangan yang jumlahnya menyesuaikan besar acara."",""durasi"":""Pendampingan 6-12 bulan"",""cakupan"":""Konsep acara, penyusunan anggaran, kurasi vendor, kontrak, gladi bersih, rundown, sampai koordinasi hari-H dan pembongkaran."",""kapasitas"":""200-800 tamu"",""jenis_acara"":""Pernikahan""}"
"8c78e1a4-66ac-46f8-8572-f6771e81d472","0cc718ff-94f9-4a00-9c2d-f75bac06342d","Agung Mandiri Planner","event_organizer","Gala Dinner Korporat","Malam penghargaan atau jamuan perusahaan dengan panggung, tata cahaya, dan susunan acara yang disiapkan bersama tim internal klien.","9800000.00","45","{""tim"":""Satu event director, tim teknis, dan kru registrasi."",""durasi"":""5-6 jam"",""cakupan"":""Konsep panggung, tata cahaya dan suara, run of show, registrasi tamu, hiburan pengisi acara, dan laporan pasca-acara."",""kapasitas"":""150-500 tamu"",""jenis_acara"":""Gala dinner korporat""}"
"bd2c609d-cb46-40ae-a075-a83992c081da","3af7e406-38a9-4a51-8c93-63be8ce05aa2","Bintang Sejahtera EO","event_organizer","Koordinator Hari-H","Untuk yang sudah menyiapkan sendiri semua vendornya dan hanya butuh tim yang menjalankan rundown di hari pelaksanaan.","700000.00","21","{""tim"":""Satu koordinator dan empat kru lapangan."",""durasi"":""Hari pelaksanaan saja"",""cakupan"":""Pengambilalihan rundown dua minggu sebelum hari-H, gladi bersih, koordinasi vendor di lokasi, dan penanganan kendala."",""kapasitas"":""Sampai 500 tamu"",""jenis_acara"":""Semua jenis acara formal""}"
"9b9381c4-c016-44e8-aa70-8d0f0a785203","3af7e406-38a9-4a51-8c93-63be8ce05aa2","Bintang Sejahtera EO","event_organizer","Paket Lamaran & Engagement","Acara lamaran skala keluarga dengan dekorasi, MC, dan susunan acara adat yang disiapkan sesuai permintaan kedua keluarga.","1000000.00","30","{""tim"":""Satu koordinator dan dua kru lapangan."",""durasi"":""4-5 jam"",""cakupan"":""Dekorasi area lamaran, MC, seserahan, dokumentasi ringan, dan pengaturan alur acara adat."",""kapasitas"":""30-100 tamu"",""jenis_acara"":""Lamaran / engagement""}"
"420bd760-6404-448d-9cfe-6d07c1089d71","3af7e406-38a9-4a51-8c93-63be8ce05aa2","Bintang Sejahtera EO","event_organizer","Seminar & Corporate Gathering","Seminar, workshop, atau gathering karyawan, termasuk kebutuhan teknis presentasi dan pengelolaan peserta.","1800000.00","30","{""tim"":""Satu koordinator, tim registrasi, dan operator teknis."",""durasi"":""Setengah hari sampai dua hari"",""cakupan"":""Tata ruang, perlengkapan presentasi, registrasi peserta, konsumsi, dan dokumentasi acara."",""kapasitas"":""50-300 peserta"",""jenis_acara"":""Seminar / gathering""}"
"c99b286f-70df-4151-b7dd-796a28ec7d6c","3af7e406-38a9-4a51-8c93-63be8ce05aa2","Bintang Sejahtera EO","event_organizer","Wedding Organizer Full Service","Pendampingan penuh sejak perencanaan sampai hari pelaksanaan, termasuk pencarian dan koordinasi seluruh vendor pendukung.","2000000.00","60","{""tim"":""Satu project manager, dua koordinator area, dan tim lapangan yang jumlahnya menyesuaikan besar acara."",""durasi"":""Pendampingan 6-12 bulan"",""cakupan"":""Konsep acara, penyusunan anggaran, kurasi vendor, kontrak, gladi bersih, rundown, sampai koordinasi hari-H dan pembongkaran."",""kapasitas"":""200-800 tamu"",""jenis_acara"":""Pernikahan""}"
"0bd12392-f765-490c-ae4c-77eff7642a52","3af7e406-38a9-4a51-8c93-63be8ce05aa2","Bintang Sejahtera EO","event_organizer","Gala Dinner Korporat","Malam penghargaan atau jamuan perusahaan dengan panggung, tata cahaya, dan susunan acara yang disiapkan bersama tim internal klien.","2800000.00","45","{""tim"":""Satu event director, tim teknis, dan kru registrasi."",""durasi"":""5-6 jam"",""cakupan"":""Konsep panggung, tata cahaya dan suara, run of show, registrasi tamu, hiburan pengisi acara, dan laporan pasca-acara."",""kapasitas"":""150-500 tamu"",""jenis_acara"":""Gala dinner korporat""}"
